samAccountName,Name,Group,Department,OU,Email
mmario,Mario Mario,Executive Leadership,Executive Office,Leadership,mmario@HarmoniTech.com
mchief,Master Chief,Technology Leadership,Information Technology,Leadership,mchief@HarmoniTech.com
jvalentine,Jill Valentine,Technology Leadership,Information Technology,Leadership,jvalentine@HarmoniTech.com
lcroft,Lara Croft,Operations Leadership,Operations,Leadership,lcroft@HarmoniTech.com
saran,Samus Aran,Technology Leadership,Information Technology,Leadership,saran@HarmoniTech.com
aloy,Aloy,Software Development,Information Technology,Departments,aloy@HarmoniTech.com
ryu,Ryu,Network Operations,Information Technology,Departments,ryu@HarmoniTech.com
ezioauditore,Ezio Auditore,Data Analytics,Information Technology,Departments,ezioauditore@HarmoniTech.com
princesspeach,Princess Peach,User Experience,Design,Departments,princesspeach@HarmoniTech.com
ndrake,Nathan Drake,Executive Leadership,Executive Office,Leadership,ndrake@VerveTech.com
gfreeman,Gordon Freeman,Technology Leadership,Information Technology,Leadership,gfreeman@VerveTech.com
a47,Agent 47,Finance Leadership,Finance,Leadership,a47@VerveTech.com
amorgan,Arthur Morgan,Operations Leadership,Operations,Leadership,amorgan@VerveTech.com
nhale,Nathan Hale,Sales,Sales,Departments,nhale@VerveTech.com
fconnors,Faith Connors,Marketing,Marketing,Departments,fconnors@VerveTech.com
dguy,Doom Guy,Human Resources,Human Resources,Departments,dguy@VerveTech.com
amercer,Alex Mercer,IT Management,Information Technology,Departments,amercer@VerveTech.com
